,DSI_Title,Text,category
0,JC_Doc1_AI-Artificial-Intelligence.docx,"Greatness and miscalculation fight for screen space in Steven Spielberg's ""A.I. Artificial Intelligence,"" a movie both wonderful and maddening. Here is one of the most ambitious films of recent years, filled with wondrous sights and provocative ideas, but it miscalculates in asking us to invest our emotions in a character that is, after all, a machine.

""What responsibility does a human have to a robot that genuinely loves?"" the film asks, and the answer is: none. Because the robot does not genuinely love. It genuinely only seems to love. We are expert at projecting human emotions into non-human subjects, from animals to clouds to computer games, but the emotions reside only in our minds. ""A.I."" evades its responsibility to deal rigorously with this trait and goes for an ending that wants us to cry, but had me asking questions just when I should have been finding answers.

At the center of the movie is an idea from Brian Aldiss' 1969 short story, ""Supertoys Last All Summer Long,"" about an advanced cybernetic pet that is abandoned in the woods. When real household animals are abandoned, there is the sense that humans have broken their compact with them. But when a manufactured pet is thrown away, is that really any different from junking a computer? (I hope Buzz Lightyear is not reading these words.) From a coldly logical point of view, should we think of David, the cute young hero of ""A.I.,"" as more than a very advanced gigapet? Do our human feelings for him make him human? Stanley Kubrick worked on this material for 15 years, before passing it on to Spielberg, who has not solved it, either. It involves man's relationship to those tools that so closely mirror our own desires that we confuse them with flesh and blood; consider that Charles Lindbergh's autobiography We is about himself and an airplane. When we lose a toy, the pain is ours, not the toy's, and by following an abandoned robot boy rather than the parents who threw him away, Spielberg misses the real story.

The film opens with cerebral creepiness, as Professor Hobby (William Hurt) presides at a meeting of a company that makes humanoid robots (or ""mechas""). We are in the future; global warming has drowned the world's coastlines, but the American economy has survived, thanks to its exploitation of mechas. ""I propose that we build a robot that can love,"" Hobby says.

Twenty months later, we meet Monica and Henry (Frances O'Connor and Sam Robards), a married couple whose own child has been frozen until a cure can be devised for his disease. The husband brings home David (Haley Joel Osment), a mecha who looks as lifelike and lovable as--well, Haley Joel Osment.

""There's no substitute for your own child!"" sobs Monica, and Henry tries to placate her: ""I'll take him back."" Cold, but realistic, David is only a product. Yet he has an advanced chip that allows him to learn, adapt and ""love,"" when Monica permanently ""imprints"" him.",1
1,EH_Doc2_Arnie-is-at his-best-in-this sci-fi-classic.docx,"Arnie is at his best in this sci-fi classic! 

Words: horror, Sci-Fi, fun, Action, Suspense

This film will always have special place for me, as aside from being one of the best horror/sci-fi films of the eighties; it's also a huge childhood favourite of mine. Despite the fact that I've seen it dozens of times as a kid, I have only seen it once during adulthood; and that single viewing was more than enough to remind me what it is that I love about this film! Predator works as a macho action film, gory horror and intriguing sci-fi, and despite it's short running time of just 100 minutes, it somehow manages to find room for all three. The fact that it stars action icon Arnold Schwarzenegger ensures that the film will always be favorably remembered. He's not a good actor, but Arnie always manages to bring that extra something to his movies. The plot is deliciously simple and follows a group of commandos that go off into the jungle on a secret mission. However, things go awry when it turns out that they aren't the only ones with weapons there. Finding the skinned bodies of the last group of men that entered the jungle is about to become the least of their worries...

The jungle makes for a great setting for an action sci-fi flick such as this. These sorts of films tend to be set in space, so seeing the action down here on earth is different; and the fact that it's set in the jungle, with it's dense foliage, ensures that Die Hard-director John McTiernan is able to bump up the suspense, as just like in the Vietnam war; the soldiers are dealing with an unknown enemy. The atmosphere really is excellent, and the special effects help to create a futuristic tone, while the suspense builds and makes sure that the audience are on the edge of their seats at all times. The action is great, and director McTiernan clearly knows what he's doing. It's fast and furious, and the amount of weapons on display ensures that the film is sure to delight fans of macho action films. The fact that the lead actor is a monster of a man doesn't exactly hurt the film either! 

Arnie isn't the only big man in the film either, as an assortment of muscle men, including ex-wrestler Jesse Ventura, and Carl Weathers; Rocky's Apollo Creed, among other B-movie actors, join him. The man himself also finds himself a very worthy ally, in the form of the movie's central alien. The Predator may not be as beautiful as the creature from 'Alien', but it's just as inventive. Here we have an extra-terrestrial that isn't merely trying to breed, or to 'phone home' - but one that is actually there to hunt humans for sport! Aside from being ingenious, the idea also borders on frightening. The gore here is gratuitous, but never goes over the top and overall, Predator is a film that never really got the credit it deserves. It is mindless fun - but its damn good mindless fun!



Link: https://www.imdb.com/review/rw1280584/?ref_=tt_urv",1
2,BDL_Doc1_Great-Scott.docx,"In an earlier review of ""Blade Runner,"" I wrote; ""It looks fabulous, it uses special effects to create a new world of its own, but it is thin in its human story."" This seems a strange complaint, given that so much of the movie concerns who is, and is not, human, and what it means to be human anyway. Even one character we can safely assume is human, the reptilian Tyrell, czar of the corporation which manufactures replicants, strikes me as a possible replicant. And of the hero, Deckard (Harrison Ford), all we can say for sure is that director Ridley Scott has left clues in various versions of his film that can be used to prove that Deckard is a human -- or a replicant.



Now study that paragraph again and notice I have committed a journalistic misdemeanor. I have referred to replicants without ever establishing what a replicant is. It is a tribute to the influence and reach of ""Blade Runner"" that 25 years after its release virtually everyone reading this knows about replicants. Reviews of ""The Wizard of Oz"" never define Munchkins, do they? This is a seminal film, building on older classics like ""Metropolis"" (1926) or ""Things to Come,"" but establishing a pervasive view of the future that has influenced science fiction films ever since. Its key legacies are: Giant global corporations, environmental decay, overcrowding, technological progress at the top, poverty or slavery at the bottom -- and, curiously, almost always a film noir vision. Look at ""Dark City,"" ""Total Recall,"" ""Brazil,"" ""12 Monkeys"" or ""Gattaca"" and you will see its progeny.



The ""human story,"" as I think of it, involves practical tests to determine if an individual is a replicant or not, and impractical tests (such as love) to determine how much that matters to (a) people, if they are in love with a replicant, and (b) replicants, if they know they are replicants. This has always been a contrived problem, easily avoidable in practical ways, unless (as I suspect) the Tyrell Corporation has more up its sleeves than arms. But to stumble on plot logic seems absurd in a film that is more about vision. And I continue to find it fascinating how film noir, a genre born in the 1940s, has such a hammerlock on the future (look at ""Dark City"" again). I suspect film noir is so fruitful and suggestive that if you bring it on board, half your set and costume decisions have been made for you, and you know what your tone will be.



Ridley Scott is a considerable director who makes no small plans. His credits include ""Alien,"" ""Legend,"" the inexplicable ""1492: Conquest Of Paradise,"" ""Gladiator,"" ""Black Hawk Down"" and the brilliant ""Matchstick Men,"" and his ""American Gangster"" opened Friday in theaters. He has the gift of making action on a vast scale seem comprehensible. I have been assured that my problems in the past with ""Blade Runner"" represent a failure of my own taste and imagination, but if the film was perfect, why has Sir Ridley continued to tinker with it, and now released his fifth version? I guess he's only... human.",0
3,YPL_Doc2_The_Farewell.docx,"The Farewell rips your heart out of your chest. Then it hands it back to you, wrapped gently in cotton wool. Lulu Wang’s second feature is a revelatory one, it arrives with all the fanfare accorded to a major new talent. Packaged up in all the intricacies of immigrant identity and family politics, The Farewell is a comedy of warmth and bracing honesty. 



This isn’t the first time Wang’s told this story, back in 2016, the writer-director recounted a trip to China to say goodbye to her terminally ill grandmother. Her family, however, had issued strict instructions that no one discuss the disease around her. She hadn’t been told about the stage-four cancer ravaging her body. It’s a common practice in Chinese families, since it’s believed the stress of the diagnosis may only worsen a person’s condition. Instead, everyone came together under the pretense that they were celebrating her grandson’s wedding. 



Billi, a Brooklyn-based writer whose entered her thirties with no money and no prospects. Billi emigrated with her parents from Changchun, to New York when she was six years old. She still phones her paternal grandmother on a regular basis. But when Billi’s parents tell her the bad news, they also suggest she stay at home, since she’s too Americanized and thus too emotionally earnest – she’s bound to ruin the plan. Billi hops on a plane anyway.



The trip crushes her and rebuilds her in a thousand ways. When she’s finally faced with her grandmother, her face contorts into a snapshot of combusting grief. She’s trying so hard not to weep, she looks physically in pain. 





While there’s been no shortage of culture-clash comedies, they’ve more often than not focused on the purely superficial. Wang goes straight for the messy stuff – there’s no thornier subject than death, after all. It rears its head in myriad ways, but always with the same patterns of devastation. No family goes unaffected. Billi balks at the idea of keeping Grandma’s illness a secret, considering it’d be illegal to do so in the US, but Wang gives her the space to wrestle with that impulse, and where it comes from. Her relatives see it as implicit to the selfishness of Western lifestyles. 



The Farewell is one of those rare and precious comedies that is as hilarious as it is tragic. It’s humanity, encompassed. Never is this more evident than when the family visit the gravesite of Grandma’s husband. Billi’s father pulls out a cigarette, but Grandma insists he’d quit. “Let the man smoke, he’s already dead. What else can happen?” Haibin retorts. It’s hard to tell how closely Wang is modelling these characters on her own family, but each is beautifully sketched out, regardless of how much screen time they have.



At the center of all things, of course, is Grandma. She is the sun at the center of her own solar system, and in many ways the ultimate matriarch. Billi might be experiencing the worst cultural whiplash of her life – something Wang pointedly never offers a solution to – but it’s her love for this formidable woman that always manages to pull her through.",1
4,KWB_Doc2_Artemis-Fowl-Review.docx,"It took 20 years for an “Artemis Fowl” movie to come out, and now that it’s here, the film itself feels like it’s in a hurry to be over already. Irish author Eoin Colfer’s beloved tween fantasy series is nothing if not resilient, and now arrives under less-than-ideal circumstances in streaming form. But Kenneth Branagh’s big-budget extravaganza, based on a screenplay by Conor McPherson and Hamish McColl, is a glossy and empty exercise in world-building. The premise isn’t all that complicated—there’s an underground world of fairies, trolls and other mythical creatures that a wealthy, wise-beyond-his-years boy learns to navigate, who’s saddled with doing a ton of hand-holding narration for the audience.  And the titular character at the center of this adventure, the brilliant and rebellious 12-year-old Artemis Fowl, ends up being a dazzled, wide-eyed pawn rather than a driving force. We’re told early on by Gad’s scruffy, thieving dwarf Mulch Diggums: “Do not underestimate the kid.” But as played by sweet-faced newcomer Ferdia Shaw, Artemis is more of a spunky and subversive troublemaker than the devious criminal mastermind who anchors Colfer’s books. He’d rather surf than go to school, and do you blame him? Artemis has been softened to make him more accessible, which only makes him less interesting. Nevertheless, he is our conduit between the human world and the land of leprechauns, sprites and the like, and so we must follow him, dull as he may be. When globe-trotting antiquities dealer Artemis Fowl Sr. (a too-brief Colin Farrell) goes missing while on a secret mission, the younger Artemis realizes all the legends his dad told him over the years were true. He must team up with some of those fantastic beasts to rescue his father, as well as retrieve a valuable, shiny doo-dad that’s super powerful in the fairy world but dangerous for human use. It resembles a glowing, golden butt plug. This is essentially “Spy Kids” with greater ambitions and more elaborate visual effects. The sprawling and ornate Fowl Manor, which sits atop a cliff along the dramatic Irish coast, is impressive. Haven City—the underground realm that’s home to the LEPrecon fairy police force, run by a pointy-eared, bored-looking Judi Dench—She’s basically been asked to show up and run from a troll. But with his scraggly hair and shaggy beard, he looks as if he just wandered in from a Phish concert; he, too, joins in the adventure. Nevertheless, there’s always another fearsome creature, another giant set piece or fight scene, with a frantic score urging the action along. There’s a great deal of exertion on display but very little magic. “The time freeze is going to collapse any second now!” yells the tech guru centaur, a warning which is supposed to be significant within the craze of noise and the whoosh of flight and the pew-pew-pew of lasers being fired from ancient-looking weapons. But it’s all going to come crashing down soon enough anyway.",0
5,CEY_Doc1_The-Lion-King.docx,"Another month, another Disney remake of an animated classic. There are two reasons that this film exists, and neither is because anything was missing from 1994’s furry Hamlet. The first is to show off genuinely dazzling visual effects, technological marvels that give us photo-real animals in an absolutely convincing setting. The second is to showcase the ability of Disney and director Jon Favreau, following 2016’s reimagining of The Jungle Book, to assemble a world-class voice cast. But it’s still not enough to stand shoulder-to-shoulder with the great king of the past.

It doesn’t seem right to describe this as ""live action"", when the visuals were created in the London offices of visual effects wizards MPC. Whatever its category, the immediate and overwhelming impression is so life-like that you expect David Attenborough to start narrating at any moment. Every hair and whisker is in place, every footprint raises a puff of dust. You'll believe that Pride Rock is a real place somewhere in Africa, watching over a landscape kept in careful balance by the stewardship of its great lion king, Mufasa. He is voiced, once again, by James Earl Jones, because some things are sacrosanct even in this mixed-up age. Our hero, Mufasa’s son Simba (JD McCrary; replaced in adulthood by Donald Glover), is just as cute and clumsy as ever as he takes his first steps into the big, wide world.

The big problem with this photo-realism, however, is that animal mouths are not designed for words, and their faces do not express human emotion. What we gain in realism we lose in expression, even in their limpid eyes; it’s distinctly jarring when these cats speak, and even more when they break into song. You can't help but mentally impose the performances of their 2D predecessors and see far more, well, animation in the older characters.

This emotional gap is somewhat covered over by a talented voice cast, with Chiwetel Ejiofor making a bitter yet seductive Scar and John Oliver snarking up a storm as the fussy Zazu. But it's not until Billy Eichner and Seth Rogen rock up as Timon and Pumba, respectively, that the film finds its groove. Favreau gives them their head, and they inject a much-needed shot of humour and energy into all the Shakespearean drama of Pride Rock. For a while they succeed in lifting the pace from a stately big-cat stalk to a full stampede, at least until Simba’s old pal Nala (Beyoncé Knowles-Carter) turns up and drags him back to save the pride from evil uncle Scar’s predations.

It’s all beautifully crafted and carefully conceived, without ever entirely justifying its existence. A few new songs increase the running time and chances of an Oscar, yet mean it sometimes drags before the lost prince returns to reclaim his throne. So, you might feel the love tonight, but perhaps not quite as much as before.

The great circle of life has thrown up a gorgeous, star-studded story, but trading feeling for realism means that we lose something of the original film’s excellence.",0
6,YG_Doc2_Monsters-University.docx,"This was the most enjoyable movie I've seen so far in 2013. In an overwhelming blockbuster summer of over-hyped excitement followed by mild to severe disappointment, Monsters University isn't just a good sign for Pixar, it's a good sign that 2013 can be one of the best years of film.

Now! On to the review! The story of the origin of the friendship between one-eyed Mike Wazowski and the blue furred James P. Sullivan in their freshman year at Monsters University. This film has homages to all the classic college comedy movies, and as it doesn't hold out on laughs for the kids and adults, it has a great amount of heart. Questions of what the future holds, and if our dreams are as possible as we hope they are. Punches aren't pulled on these questions, which is why it isn't just some animated movie to take the kids to see.

References to real college life are blended with superb imagination of the monster world. Rather it be a long blonde haired guitar player, or the horns on the school bus. All original voice talent returns and keeps up with the track record of great performances in Pixar films. Billy Crystal, John Goodman, and Steve Buscemi grasp their characters and give them entirely different motivations compared to the original. Instead of a hardworking team, the two have a rivalry, and the supporting cast of their fraternity supply more relatability with a great variety of lovable monsters who help fill the story with even more heart.

The compatibility with Mike and Sully can be a bit surprising, for one is the study hard teachers pet, and the other a natural born scare student. And just as you think your more like one, the other comes in and you realize that even monsters can be scared of the real world just like us today. Fear of what life has in store, and if we have the talent to fulfill our dreams. This is a theme a lot of critics are missing, and shines making it worthy of being a great Pixar movie and prequel to a great classic.

The story isn't terribly generic as one may think, and every act is more different from the last. Starting with the clash between Mike and Sully, then onto the scare games, an intense series of games that declare supremacy of M.U. For the third and final act couldn't be more surprising though. It not only serves as a great climax, but something that we can once again commend Pixar for telling great stories in out of the box thinking that we should think paying for the $10 dollar ticket is worth it. And boy did I think this movie was worth it, for I will be definitely be seeing it a second and possibly third time. It wasn't a prequel we originally wanted, but it was a film that we and Pixar needed. And boy am I glad it happened.",0
7,MMC_DOC1_Boston_Herland_1917.docx,"‘1917’ takes audience on front lines of epic war saga

By JAMES VERNIERE | james.verniere@bostonherald.com |

January 10, 2020 at 12:27 a.m.

Charged by Gen. Erinmore (Colin Firth, here and gone), the men carry a letter to tell the leader of a regiment at the front not to charge the Germans (aka the Huns), who have retreated to the Hindenburg Line, because the retreat is a trap. Blake’s older brother, a lieutenant (Richard Madden, TV’s “Bodyguard”), is with the doomed regiment, adding to the suspense.

Even more urgent are the machinations of Academy Award-winning director of photography Roger Deakins (“Blade Runner 2049”), who was tasked with making “1917” appear to be filmed in one continuous shot. The non-shaky-cam effect makes us feel like we are there right beside the characters in the film, usually following them or just in front on foot at eye level, and it gives “1917” an immediacy, authenticity and a rare intimacy. If you like to feel like you have been thrown into another world by an “event” film, I suggest you see “1917” on the biggest screen you can find.

Inevitably “1917” also begs comparisons to Stanley Kubrick’s 1957 WWI anti-war landmark “Paths of Glory” with its tracking shots on rails inside the trenches. Equipped with extra armament, Schofield and Blake are war’s innocents sent to the slaughter. Schofield cuts his hand badly on a length of barbed wire almost immediately and then proceeds to get the most awful things smeared on the wound. Biplanes bob overhead. Primitive tanks lie on their flanks dead in the mud like creatures from a lost world. If the bodies and landscape had not been designed by “bio-mechanical” artist H.R. Giger, they should have been. The score by Thomas Newman (“Spectre”) is a knot of raw nerves and fear.

Co-writers Mendes and Krysty Wilson-Cairns (TV’s “Penny Dreadful”) have created an ambulatory “Journey’s End,” a military “Alice in Wonderland” and a WWI-era “Saving Private Ryan.” If “1917” is a bit of a pastiche, it is nonetheless remarkable for such miracles as a crashing German plane that barely misses the protagonists, who save the pilot from being burned alive and proving once again that no good deed goes unpunished.

Did you notice the windblown cherry blossoms? Unlike “Dunkirk,” “1917” shows us colonial British soldiers, who fought to the death beside their native brethren. Hope is sparked by an orphaned French baby Schofield gifts with a canteen of milk.

But then English poet Edward Lear’s “The Jumblies” is used to summon the mad, self-destructive futility of war. “They went to sea in Sieve, they did./In a Sieve they went to sea.” Yes, they did, and they’re still going.

(“1917” contains graphic war violence and gruesome images.)







Public Information

Public Information",1
8,TJ_Doc1_ESOTSM.docx,"Joel, played by Jim Carrey, and Clementine (Kate Winslet) are the clashing, depressed, impulsive personalities at the center of Michel Gondry’s beloved 2004 movie, Eternal Sunshine of the Spotless Mind. Only we don’t experience their relationship in real time, following the linear rise and fall of the typical movie romance, with its structurally predictable melodrama. Eternal Sunshine certainly has the rise and fall, and more than its share of sincere, lovelorn melodrama. But per its by-now famous conceit, that story unfolds in retrospect, flashing up on-screen as it’s being erased from the lovers’ memories bit by bit.

It’s a surprising, clever sci-fi twist, even as the relationship drama it dredges up doesn’t feel at all like science fiction. 

The movie, written by Charlie Kaufman (who won an Academy Award for his work in 2005), bears more than a superficial resemblance to Alain Resnais’s 1968 masterpiecE. 

Eternal Sunshine has more humor and a more legible romance than Resnais’s grimly nihilistic, harrowing classic, as well as tropes that speak to the moment of its release. Clementine, played with unusual vibrancy by Winslet—who’d never get a role this quirky again—is very clearly a riff on the manic pixie dream-girl trope that haunted films of the aughts, though the term itself was not coined until 2007. But she’s also older than that archetype—both of the leads are. And her wild impulsiveness, a point of attraction for the usual dream girl, is here a bit more double-edged. It’s this zany unpredictability, after all, that led to her deciding to erase Joel from her memory without a proper breakup. Nowadays, we call this ghosting; somehow, in 2004, it was harder to fathom.

 The film’s fascinating conjecture is that the manic pixie girl and indie hero probably aren’t actually very well suited for each other—not because either one is a villain, but because of basic incompatibility. And yet they choose in the end to give their romance a shot anyway.

These are the moments that make Eternal Sunshine so indelible, even 15 years on. Most of the movie plays out like a spotlit labyrinth of banal events that suddenly become radical and strange as faces, gestures, and details gradually start to disappear. A car falls from the sky; distinct events bleed into each other nonsensically. In Joel’s mind, Joel and Clementine being to run ahead of the memories once Joel realizes he’d rather have them—keep the pain—than pretend Clementine never existed.

As heavy as Eternal Sunshine can get, it also never loses its puckish playfulness. iTs still a harrowing, and fascinatingly literal, depiction of a mind being cracked open. Still, I suspect that we mostly remember the film for the serious questions it posits. The film is undeniably a fantasy. But the feelings that Eternal Sunshine evokes couldn’t feel more grounded in the real devastation of a lost love—or the blissful fatedness of a new one.",1
9,KV_Doc1_In-Get-Out.docx,"In “Get Out,” an exhilaratingly smart and scary freakout about a black man in a white nightmare, the laughs come easily and then go in for the kill. The writer and director, Jordan Peele (of the comedy sketch show “Key & Peele”), knows how to make shadowy streets into menacing ones and turn silences into warnings from the abyss. His greatest stroke in “Get Out,” though, is to have hitched these genre elements to an evil that isn’t obscured by a hockey mask, but instead throws open its arms with a warm smile while enthusiastically (and strangely) expressing its love for President Obama.



Those arms and smiles all but engulf Chris (the British actor Daniel Kaluuya, going deep in a breakthrough performance), a photographer with a sweet pad, adorable dog and equally frisky, adoring girlfriend, Rose (a perfectly cast Allison Williams, from the HBO show “Girls”). The story opens with them preparing for a long weekend with her parents. “Do they know I’m black?” Chris gently asks. They don’t, but Rose assures him not to worry, and off they go into the countryside and narrative complications. Mr. Peele, making his feature debut, sets a cozy, innocuous scene complete with coos and loving glances, a tranquillity that shatters with an eerily inopportune deer crossing.



By the time Chris and Rose pull up to her parents’ house — a stately brick building with imposing white columns and rocking chairs on the front porch — ripples of unease have disturbed the calm. The nicer Rose’s parents, Dean (Bradley Whitford) and Missy (Catherine Keener), behave, the greater the ripples. They don’t blink at him or his race (Ms. Keener is a virtuoso of the deadeye stare), but instead adopt the forced geniality of people who seem anxious to hide their discomfort. Missy’s the watchful one, while the voluble Dean cozies up to Chris, dropping embarrassing slang and relating an odd story about Jesse Owens, the black Olympian who shocked Hitler.



Mr. Peele is best known for his work with Keegan-Michael Key on their titular comedy sketch show, where politics mixed freely with the laughs. Together they starred in the 2016 comedy “Keanu,” a lampoon of action cinema that was a (slack) piece with the movie love that was a mainstay of their show. In one memorable bit from the show, heckling cinephiles voice their complaints (“this movie has an inconsistent visual language!”); in another, two friends realize that the reason the zombie hordes aren’t attacking them is they’re flesh-eating racists. “Get Out” expands on, and considerably deepens, a similar idea by turning white racism into disquieting genre shivers.



But Mr. Peele is after more than giggles and shocks; he’s taking on 21st-century white racism and its rationales. The opener — a black man talking on a cellphone on an empty suburban street — briskly sets the tone, unsettles the mood and announces Mr. Peele’s way with metaphor. He’s working within a recognizable horror-film framework here (the darkness, the stillness), so it’s not surprising when a car abruptly pulls up and begins tailing the man. You may even snicker because you think you’ve seen this flick before. Except that when this man anxiously looks for a way out, the scene grows discordantly disturbing because you may, as I did, flash on Trayvon Martin.",1
